Site Name,Deployment Number,Deploy Date,Deploy Time,Cam #,SD #,Carcass ID,No Scavenge?,Partial Scavenge?,No/Partial Scavenge Retrieve Date,No/Partial Scavenge Retrieve Time,Camera Failure
Laguna,3,26 Feb 23,18:25,5,3,37,FALSE,FALSE,NA,NA,FALSE
Seabright 1,3,26 Feb 23,19:01,12,17,39,FALSE,FALSE,NA,NA,FALSE
Seabright 2,3,26 Feb 23,19:15,9,4,41,FALSE,FALSE,NA,NA,FALSE
Waddell,3,27 Feb 23,8:04,8,8,42,FALSE,FALSE,NA,NA,FALSE
Scotts,3,27 Feb 23,8:18,11,16,43,FALSE,FALSE,NA,NA,FALSE
Laguna,3,27 Feb 23,8:38,5,3,44,FALSE,FALSE,NA,NA,TRUE
Seabright 1,3,27 Feb 23,9:00,12,17,45,FALSE,FALSE,NA,NA,TRUE
Seabright 2,3,27 Feb 23,9:11,9,4,46,FALSE,TRUE,NA,NA,FALSE
Seabright 1,3,27 Feb 23,17:21,12,17,47,FALSE,FALSE,NA,NA,FALSE
Seabright 1,3,28 Feb 23,7:24,12,17,48,FALSE,FALSE,NA,NA,TRUE
Seabright 2,3,28 Feb 23,7:08,9,4,49,FALSE,FALSE,NA,NA,FALSE
Seabright 2,3,27 Feb 23,17:08,9,4,50,FALSE,FALSE,NA,NA,FALSE
Waddell,3,27 Feb 23,17:30,8,8,52,FALSE,TRUE,28 Feb 23,8:05,FALSE
Scotts,3,27 Feb 23,17:45,11,16,53,FALSE,FALSE,NA,NA,FALSE
Laguna,3,27 Feb 23,18:04,5,3,54,FALSE,FALSE,NA,NA,TRUE
Waddell,3,28 Feb 23,8:05,8,8,55,TRUE,FALSE,28 Feb 23,17:27,FALSE
Scotts,3,28 Feb 23,8:16,11,16,56,FALSE,FALSE,NA,NA,FALSE
Laguna,3,28 Feb 23,8:45,5,3,57,FALSE,FALSE,NA,NA,TRUE
Blacks,4,3 Apr 23,19:18,10,10,61,TRUE,FALSE,4 Apr 23,7:26,FALSE
Bonny Doon,4,3 Apr 23,19:07,12,17,62,FALSE,TRUE,4 Apr 23,7:27,FALSE
Natural Bridges,4,3 Apr 23,19:53,9,9,63,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,4,3 Apr 23,19:00,8,8,64,TRUE,FALSE,4 Apr 23,7:35,FALSE
Four Mile,4,3 Apr 23,20:12,11,16,65,TRUE,FALSE,4 Apr 23,8:08,FALSE
Panther,4,3 Apr 23,19:39,5,5,66,FALSE,TRUE,4 Apr 23,7:45,FALSE
Blacks,4,4 Apr 23,7:27,10,10,67,TRUE,FALSE,4 Apr 23,18:48,FALSE
Twin Lakes,4,4 Apr 23,7:37,8,8,68,TRUE,FALSE,4 Apr 23,18:58,FALSE
Natural Bridges,4,4 Apr 23,8:04,9,9,69,FALSE,FALSE,NA,NA,FALSE
Panther,4,4 Apr 23,17:10,5,5,70,FALSE,FALSE,NA,NA,TRUE
Four Mile,4,4 Apr 23,8:08,11,16,71,FALSE,FALSE,NA,NA,FALSE
Bonny Doon,4,4 Apr 23,7:27,12,17,72,FALSE,FALSE,NA,NA,FALSE
Panther,4,4 Apr 23,7:45,5,5,73,TRUE,FALSE,4 Apr 23,17:10,FALSE
Bonny Doon,4,4 Apr 23,16:54,12,17,74,FALSE,TRUE,5 Apr 23,7:33,FALSE
Four Mile,4,4 Apr 23,17:33,11,2,75,TRUE,FALSE,5 Apr 23,8:27,FALSE
Natural Bridges,4,4 Apr 23,18:18,9,3,76,FALSE,FALSE,NA,NA,FALSE
Blacks,4,4 Apr 23,18:48,10,10,77,TRUE,FALSE,5 Apr 23,7:28,FALSE
Twin Lakes,4,4 Apr 23,18:58,8,8,78,TRUE,FALSE,5 Apr 23,7:44,FALSE
Blacks,4,5 Apr 23,7:30,10,10,80,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,4,5 Apr 23,7:44,8,8,81,TRUE,FALSE,5 Apr 23,19:36,FALSE
Bonny Doon,4,5 Apr 23,7:33,12,17,83,TRUE,FALSE,5 Apr 23,17:49,FALSE
Panther,4,5 Apr 23,8:02,5,5,84,FALSE,FALSE,NA,NA,FALSE
Four Mile,4,5 Apr 23,8:27,11,2,85,TRUE,FALSE,5 Apr 23,18:36,FALSE
Twin Lakes,5,10 Apr 23,19:23,10,10,86,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,4,5 Apr 23,9:15,9,3,87,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,5,10 Apr 23,18:33,8,8,88,TRUE,FALSE,11 Apr 23,7:24,FALSE
Panther,5,10 Apr 23,19:34,11,2,89,FALSE,TRUE,11 Apr 23,7:46,FALSE
Bonny Doon,5,10 Apr 23,19:11,9,9,90,FALSE,TRUE,11 Apr 23,7:20,FALSE
Four Mile,5,10 Apr 23,17:57,12,17,91,FALSE,TRUE,11 Apr 23,8:16,FALSE
Blacks,5,10 Apr 23,19:08,5,5,92,TRUE,FALSE,11 Apr 23,8:06,FALSE
Bonny Doon,5,11 Apr 23,7:20,9,9,93,FALSE,FALSE,NA,NA,FALSE
Panther,5,11 Apr 23,7:46,11,2,94,TRUE,FALSE,11 Apr 23,18:28,FALSE
Four Mile,5,11 Apr 23,8:16,12,17,95,TRUE,FALSE,11 Apr 23,18:50,FALSE
Natural Bridges,5,11 Apr 23,7:24,8,8,96,FALSE,TRUE,11 Apr 23,19:10,FALSE
Twin Lakes,5,11 Apr 23,7:56,10,10,97,FALSE,FALSE,NA,NA,FALSE
Blacks,5,11 Apr 23,8:06,5,5,98,FALSE,FALSE,NA,NA,FALSE
Bonny Doon,5,11 Apr 23,18:13,9,9,99,FALSE,FALSE,NA,NA,FALSE
Panther,5,11 Apr 23,18:28,11,20,100,FALSE,FALSE,NA,NA,TRUE
Four Mile,5,11 Apr 23,18:50,12,17,101,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,5,11 Apr 23,19:10,8,8,102,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,5,11 Apr 23,19:32,10,10,103,FALSE,TRUE,12 Apr 23,7:45,FALSE
Blacks,5,11 Apr 23,19:40,5,5,104,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,5,12 Apr 23,7:45,10,3,105,FALSE,FALSE,NA,NA,FALSE
Blacks,5,12 Apr 23,7:55,5,5,106,FALSE,FALSE,NA,NA,TRUE
Natural Bridges,5,12 Apr 23,8:20,8,8,107,FALSE,TRUE,12 Apr 23,19:12,FALSE
Bonny Doon,5,12 Apr 23,7:30,9,9,108,TRUE,FALSE,12 Apr 23,18:16,FALSE
Panther,5,12 Apr 23,7:46,11,20,109,FALSE,FALSE,NA,NA,TRUE
Three Mile,6,17 Apr 23,18:03,12,17,110,TRUE,FALSE,18 Apr 23,7:23,FALSE
Sand Plant,6,17 Apr 23,18:35,8,8,111,TRUE,FALSE,18 Apr 23,7:49,FALSE
Four Mile,5,12 Apr 23,8:06,12,17,112,TRUE,FALSE,12 Apr 23,18:45,FALSE
Strawberry,6,17 Apr 23,19:00,11,2,113,TRUE,FALSE,18 Apr 23,8:10,FALSE
New Brighton,6,17 Apr 23,20:55,10,10,114,TRUE,FALSE,18 Apr 23,7:52,FALSE
Seacliff ,6,17 Apr 23,20:27,9,9,115,FALSE,FALSE,NA,NA,FALSE
Younger,6,17 Apr 23,20:22,5,5,116,FALSE,FALSE,NA,NA,FALSE
Seacliff ,6,18 Apr 23,7:27,9,9,117,FALSE,FALSE,NA,NA,FALSE
New Brighton,6,18 Apr 23,7:52,10,10,118,TRUE,FALSE,18 Apr 23,19:15,FALSE
Younger,6,18 Apr 23,8:40,5,5,119,FALSE,FALSE,NA,NA,FALSE
Three Mile,6,18 Apr 23,7:23,12,17,120,TRUE,FALSE,18 Apr 23,18:06,FALSE
Sand Plant,6,18 Apr 23,7:49,8,8,121,TRUE,FALSE,18 Apr 23,18:37,TRUE
Strawberry,6,18 Apr 23,8:10,11,2,122,TRUE,FALSE,18 Apr 23,19:06,FALSE
Three Mile,6,18 Apr 23,18:06,12,17,123,TRUE,FALSE,19 Apr 23,7:26,FALSE
Sand Plant,6,18 Apr 23,18:37,8,8,124,TRUE,FALSE,19 Apr 23,7:53,FALSE
Strawberry,6,18 Apr 23,19:06,11,2,125,TRUE,FALSE,19 Apr 23,8:14,FALSE
Younger,6,18 Apr 23,18:22,5,5,126,FALSE,FALSE,NA,NA,FALSE
Seacliff ,6,18 Apr 23,18:54,9,9,127,FALSE,TRUE,NA,NA,FALSE
New Brighton,6,18 Apr 23,19:15,10,10,128,FALSE,FALSE,NA,NA,FALSE
Younger,6,19 Apr 23,7:07,5,5,129,FALSE,FALSE,NA,NA,FALSE
Seacliff ,6,19 Apr 23,7:38,9,9,130,FALSE,FALSE,NA,NA,FALSE
New Brighton,6,19 Apr 23,7:58,10,10,131,TRUE,FALSE,19 Apr 23,19:08,FALSE
Three Mile,6,19 Apr 23,7:26,12,17,132,TRUE,FALSE,19 Apr 23,18:16,FALSE
Sand Plant,6,19 Apr 23,7:53,8,8,133,TRUE,FALSE,19 Apr 23,19:38,FALSE
Strawberry,6,19 Apr 23,8:14,11,2,134,TRUE,FALSE,19 Apr 23,19:12,FALSE
Seacliff ,7,24 Apr 23,19:01,9,9,135,FALSE,FALSE,NA,NA,FALSE
New Brighton,7,24 Apr 23,19:25,5,5,136,FALSE,FALSE,NA,NA,FALSE
Younger,7,24 Apr 23,18:09,10,10,137,FALSE,FALSE,NA,NA,FALSE
Sand Plant,7,24 Apr 23,19:08,12,17,138,FALSE,TRUE,25 Apr 23,8:05,FALSE
Strawberry,7,24 Apr 23,19:57,8,8,139,TRUE,FALSE,25 Apr 23,8:30,FALSE
Three Mile,7,24 Apr 23,18:21,11,20,140,TRUE,FALSE,25 Apr 23,7:29,FALSE
Three Mile,7,25 Apr 23,7:29,11,20,141,FALSE,FALSE,NA,NA,FALSE
Sand Plant,7,25 Apr 23,8:05,12,17,142,TRUE,FALSE,25 Apr 23,18:13,FALSE
Strawberry,7,25 Apr 23,8:30,8,8,143,TRUE,FALSE,25 Apr 23,18:49,FALSE
Younger,7,25 Apr 23,7:07,10,10,144,FALSE,FALSE,NA,NA,FALSE
Seacliff ,7,25 Apr 23,7:37,9,9,145,TRUE,FALSE,25 Apr 23,18:38,FALSE
New Brighton,7,25 Apr 23,8:20,5,5,146,TRUE,FALSE,NA,NA,FALSE
Younger,7,25 Apr 23,17:46,10,10,147,FALSE,FALSE,NA,NA,FALSE
Three Mile,7,25 Apr 23,17:39,11,20,148,FALSE,FALSE,NA,NA,FALSE
Sand Plant,7,25 Apr 23,18:13,12,17,149,FALSE,TRUE,26 Apr 23,8:56,TRUE
Strawberry,7,25 Apr 23,18:49,8,8,150,TRUE,FALSE,26 Apr 23,8:25,FALSE
Seacliff ,7,25 Apr 23,18:38,9,9,151,TRUE,FALSE,26 Apr 23,9:43,FALSE
New Brighton,7,25 Apr 23,19:02,5,5,152,FALSE,FALSE,NA,NA,FALSE
Three Mile,7,26 Apr 23,7:50,11,20,153,FALSE,FALSE,NA,NA,FALSE
Sand Plant,7,26 Apr 23,8:56,12,17,154,TRUE,FALSE,26 Apr 23,18:48,FALSE
Strawberry,7,26 Apr 23,8:25,8,8,155,TRUE,FALSE,27 Apr 23,11:17,FALSE
Seacliff ,7,26 Apr 23,9:43,9,9,156,FALSE,FALSE,26 Apr 23,18:53,FALSE
Younger,7,26 Apr 23,8:00,10,10,157,FALSE,FALSE,NA,NA,FALSE
New Brighton,7,26 Apr 23,8:55,5,5,158,TRUE,FALSE,26 Apr 23,18:27,FALSE
Bonny Doon,8,1 May 23,18:09,11,20,160,FALSE,TRUE,2 May 23,7:39,FALSE
Panther,8,1 May 23,18:30,12,17,161,FALSE,TRUE,2 May 23,8:05,FALSE
Four Mile,8,1 May 23,18:54,8,8,162,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,8,2 May 23,8:17,9,9,163,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,8,2 May 23,7:33,5,5,164,FALSE,FALSE,NA,NA,FALSE
Bonny Doon,8,2 May 23,7:39,11,20,165,TRUE,FALSE,2 May 23,16:52,FALSE
Panther,8,2 May 23,8:05,12,17,166,FALSE,FALSE,NA,NA,FALSE
Four Mile,8,2 May 23,8:27,8,8,167,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,8,1 May 23,19:33,9,9,168,FALSE,TRUE,2 May 23,8:17,FALSE
Blacks,8,1 May 23,18:29,10,10,169,FALSE,FALSE,NA,NA,TRUE
Blacks,8,2 May 23,7:17,10,10,170,FALSE,FALSE,NA,NA,TRUE
Twin Lakes,8,1 May 23,18:56,5,5,171,TRUE,FALSE,2 May 23,7:33,FALSE
Blacks,8,2 May 23,18:00,10,10,172,FALSE,FALSE,NA,NA,TRUE
Twin Lakes,8,2 May 23,18:09,5,5,173,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,8,2 May 23,18:49,9,9,174,FALSE,TRUE,3 May 23,8:08,FALSE
Bonny Doon,8,2 May 23,16:52,11,20,175,FALSE,TRUE,3 May 23,7:30,FALSE
Panther,8,2 May 23,17:11,12,14,176,FALSE,FALSE,NA,NA,FALSE
Four Mile,8,2 May 23,17:32,8,8,177,FALSE,FALSE,NA,NA,FALSE
Bonny Doon,8,3 May 23,7:30,11,20,178,TRUE,FALSE,3 May 23,18:30,FALSE
Panther,8,3 May 23,7:48,12,14,179,FALSE,FALSE,NA,NA,FALSE
Four Mile,8,3 May 23,8:15,8,8,180,FALSE,FALSE,NA,NA,FALSE
Blacks,8,3 May 23,7:36,10,10,181,FALSE,FALSE,NA,NA,FALSE
Twin Lakes,8,3 May 23,7:47,5,5,182,FALSE,FALSE,NA,NA,FALSE
Natural Bridges,8,3 May 23,8:12,9,9,183,FALSE,FALSE,NA,NA,FALSE
Seacliff ,9,9 May 23,19:15,10,10,184,FALSE,FALSE,NA,NA,TRUE
Three Mile,9,9 May 23,7:16,8,8,185,FALSE,FALSE,NA,NA,FALSE
Younger,9,8 May 23,18:00,12,14,186,FALSE,FALSE,NA,NA,FALSE
Sand Plant,9,9 May 23,7:50,11,20,187,FALSE,FALSE,NA,NA,FALSE
Three Mile,9,8 May 23,18:30,8,8,188,FALSE,FALSE,NA,NA,FALSE
New Brighton,9,9 May 23,19:49,9,12,189,FALSE,FALSE,NA,NA,FALSE
Sand Plant,9,8 May 23,19:04,11,20,190,TRUE,FALSE,9 May 23,7:50,FALSE
Seacliff ,9,8 May 23,18:40,10,10,191,FALSE,FALSE,NA,NA,FALSE
New Brighton,9,8 May 23,19:25,9,9,192,FALSE,FALSE,NA,NA,TRUE
Younger,9,9 May 23,6:50,12,14,193,FALSE,FALSE,NA,NA,TRUE
New Brighton,9,9 May 23,7:30,9,9,194,FALSE,FALSE,NA,NA,FALSE
Seacliff ,9,9 May 23,8:23,10,10,195,FALSE,FALSE,NA,NA,FALSE
Younger,9,9 May 23,17:50,12,14,196,TRUE,FALSE,10 May 23,7:19,FALSE
Three Mile,9,9 May 23,18:16,8,8,197,FALSE,FALSE,NA,NA,FALSE
Sand Plant,9,9 May 23,18:47,11,20,198,FALSE,FALSE,NA,NA,FALSE
Three Mile,9,10 May 23,7:24,8,8,199,FALSE,FALSE,NA,NA,FALSE
Sand Plant,9,10 May 23,7:59,11,20,200,FALSE,FALSE,NA,NA,FALSE
Seacliff ,9,10 May 23,8:21,10,10,201,TRUE,FALSE,10 May 23,18:30,FALSE
Younger,9,10 May 23,7:19,12,14,202,FALSE,FALSE,NA,NA,FALSE
New Brighton,9,10 May 23,9:08,9,12,203,TRUE,FALSE,10 May 23,18:45,FALSE
